Category,Prompt,Choice 1,Choice 2,C1 V1 (Happiness) Effect,C1 V2 (Health) Effect,C1 V3 (Extra Cash) Effect,C1 V4 (Savings) Effect,C2 V1 (Happiness) Effect,C2 V2 (Health) Effect,C2 V3 (Extra Cash) Effect,C2 V4 (Savings) Effect
Work,Your job is doing cost cuts. Your job is safe but you have to decide to take a pay decrease or lose health benefits. What do you choose (for now)?,Health Risk,Pay Cut,-10.00,-10.00,100.00,0.00,-10.00,10.00,-100.00,0.00
Work,You are asked to join a union. Doing so gives you health insurance and contributes to your retirement but costs union dues.,Don't Join.,Join!,0.00,-10.00,0.00,500.00,0.00,10.00,-250.00,1500
Work,You've been working so hard lately you get a bonus at work! Do you want to treat yourself to something special or put it in your savings?,Treat Yo Self!,Invest!,10.00,0.00,100.00,0.00,0.00,0.00,0.00,1500
Work,Your coworker gets a promotion over you! You can look for another job but that'll be a lot of work.,Stay Put,Look for work.,0.00,0.00,0.00,0.00,10.00,-10.00,0.00,0.00
Work,You’re offered a promotion at work. You’ll earn a higher salary but your work responsibilities will increase. Accept or Not?,Decline,Accept,0.00,10.00,0.00,0.00,-10.00,-10.00,250.00,2500
Work,You get asked to work a few weekends at your job. You'll make a little extra money but will be a little sad. What do you want to do?,Extra Happy,Extra Cash,10.00,0.00,0.00,0.00,-10.00,0.00,150.00,0.00
Work,You are offered to work from home! You'll spend less money commuting but won't get much social interaction.,Stay in Office,WFH,10.00,0.00,-100.00,0.00,-10.00,0.00,100.00,0.00
Work,You get offered a position at another company making more than you do now. The job is in another city with the same cost of living but you'll have to move.,Stay Put,Move,0.00,0.00,0.00,0.00,-10.00,-10.00,-200.00,2500
Work,Your company downsizes and you get laid off work. While you're looking for a new job you'll need some cash to stay afloat. Where are you getting the money?,Cash,Savings,-10.00,0.00,-350.00,0.00,-10.00,0.00,0.00,-3500
Work,Your company gives you a career recognition reward for your years of dedicated service! Where do you put the money?,Cash,Savings,10.00,0.00,350.00,0.00,10.00,0.00,0.00,3500
Health,Hunger Hits! You can grab something fast that is cheap or something healthy that is a bit more expensive.,Fast Food,Healthy Meal,0.00,-10.00,0.00,0.00,0.00,10.00,-100.00,0.00
Health,It's allergy season! A-10choo!! Do you pick up some allergy medicine or suffer the sniffles?,Medicine,Sniffles,0.00,10.00,-100.00,0.00,0.00,-10.00,0.00,0.00
Health,You've been working really hard and deserve some rest. How do you want to use your wellness bonus?,Happiness,Health,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00
Health,You've been getting straining headaches at work and suspect you might need glasses. Do you go get your eyes checked and pay the fee or let your health suffer?,Doctor,Squint,0.00,10.00,-500.00,0.00,0.00,-20.00,0.00,0.00
Health,You haven't been feeling very well lately do you want to take some time off work to rest and restore health or keep working?,Work,Rest,-10.00,-10.00,250.00,500.00,10.00,10.00,0.00,0.00
Health,Seems like you've been feeling a bit low lately. Do you want to invest in therapy to support your happiness and health?,No,Yes,-15.00,-15.00,0.00,0.00,5.00,15.00,-250.00,0.00
Health,You've been doing really good in therapy lately! Stay in it for a happiness boost choose to stop sessions and invest the cash.,Cash,Therapy,-10.00,-10.00,0.00,2500,10.00,10.00,-250.00,0.00
Health,Your appendix burst and you were taken to the hospital. You're okay! But you need to pay some extra medical bills now. Can you pay them all off now or set up a payment plan?,Payment Plan,Pay Off Now,-10.00,-10.00,0.00,-1500.00,-10.00,-10.00,-150.00,0.00
Health,Health retreat!! You could pay to go a wellness retreat to rest and pamper yourself.,Stay Home,Wellness Trip,-10.00,-5.00,0.00,0.00,15.00,10.00,-250.00,0.00
Health,You broke your foot trying out the latest dance trend. Surgery is expensive! Where are you getting the money?,Cash,Savings,-10.00,-10.00,-250.00,0.00,-10.00,-10.00,0.00,-2500.00
Social,Your friends are going out somewhere fun tonight but you have to pay to get in. Do you go?,Stay In,Go,-10.00,0.00,0.00,0.00,10.00,0.00,-100.00,0.00
Social,You got invited to your friend's birthday party! When your friend is happy you're happy!,Just go party!,Get a gift!,10.00,0.00,0.00,0.00,20.00,0.00,-100.00,0.00
Social,Your friends are in town and asked you to host them! Seeing them will make you feel better but you'll have to pay a little extra to entertain them.,Decline.,Invite them!,-10.00,0.00,0.00,0.00,10.00,0.00,-100.00,0.00
Social,You really want to take up a new club hobby in your neighborhood to meet new people but there is a fee to join.,Don't Join.,Join,-10.00,-10.00,100.00,0.00,10.00,10.00,-200.00,0.00
Social,You're hosting a dinner party for friends and need to pick up a few things to prepare. Splurge on the dinner or cut costs?,Splurge,Skrimp,20.00,0.00,-250.00,0.00,10.00,0.00,-100.00,0.00
Social,Your favorite artist is performing in your city! But tickets are $200. Do you go?,No,Go,-10.00,0.00,0.00,0.00,15.00,0.00,-200.00,0.00
Social,It's a special occasion and you want to celebrate.,Get a gift,Nice dinner,20.00,0.00,-100.00,0.00,10.00,10.00,-100.00,0.00
Social,Someone close to you is getting married! They asked you to be in the wedding party (that can be really fun but comes with a lot of expenses).,Decline,Accept,-15.00,0.00,100.00,0.00,15.00,0.00,-300.00,0.00
Social,Your friends are planning a weekend trip. You'll need to plan for travel lodging and food expenses but it's only for a couple of days. Do you want to go?,No,Yes,-10,0,0,0,10,0,-150,0
Social,Spending more time with loved ones in community would be a huge boost to your happiness and wellness but social activity and travel costs money.,Solo Time,Family Time,-10,-10,0,1000,10,10,-150,-1000
Housing,You're looking for housing. What's more important to you?,Being Happy,Saving Money,25,0,-250,-2500,-10,0,100,1000
Housing,You're moving out! Do you want to find a roommate? You'll give up some personal freedom but save money!,Roommate,Live Alone.,-10,0,150,0,10,0,-150,0
Housing,You found a place with cheaper rent! You'll have to leave your neighborhood but you'll be paying less money.,Stay,Move,15,0,0,0,-20,0,500,0
Housing,Moving out day! You get your full security deposit back. Where do you put the money?,Cash,Savings,0,0,150,0,0,0,0,1500
Housing,You had some bad weather at your house and now your roof is leaking. Do you have the money to fix it now or do you have to wait and hope it doesn't get worse?,Wait,Fix Now,-10,-10,0,0,10,10,-200,0
Housing,Rent Spike! Your landlord raised the rent. Where are you going to get the money?,Cash,Savings,-10,0,-500,0,-10,0,0,-5000
Housing,You've been renting apartments for years now. Do you want to try and buy a home? ,Rent,Buy Home,0,0,0,-10000,0,0,-1000,0
Housing,You received a tax refund and want to make your house a home. Do you want to decorate/renovate to boost your happiness or put extra cash in your savings?,Renovate,Invest,10,0,0,-1000,-10,0,0,1000
Housing,The leak in your roof caused some damage and now you have to have big repairs done. Where do you get the money?,Cash,Savings,-10,0,-250,0,-10,0,0,-2500
Housing,Congratulations after consistently making biweekly payments to reduce the interest costs You pay off your mortgage! Where do you want to keep a new increase in income?,Cash,Invest,10,0,250,0,10,0,0,2500
Relationship,Are you interested in pursuing romantic partners?,No,Yes,0,0,0,0,0,0,0,0
