Category ,Prompt ,Choice 1 ,Choice 2,C1 V1 (Happiness) Effect,C1 V2 (Health) Effect,C1 V3 (Extra Cash) Effect,C1 V4 (Savings) Effect,C2 V1 (Happiness) Effect,C2 V2 (Health) Effect,C2 V3 (Extra Cash) Effect,C2 V4 (Savings) Effect
Work ,Your job is doing cost cuts. Your job is safe but you have to decide to take a pay decrease or lose health benefits. What do you choose (for now)?,Health Risk,Pay Cut,-10.00,-10.00,10.00,0.00,-10.00,10.00,-10.00,0.00
Work ,Your job already has a union! You could join and have more protections at work but you'll have to pay union dues.,Don't Join. ,Join!,0.00,-10.00,0.00,0.00,0.00,10.00,-10.00,0.00
Work ,You've been working so hard lately you get a bonus at work! Do you want to treat yourself to something special or put it in your savings? ,Treat Yo Self!,Invest!,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
Work ,Your coworker gets a promotion over you! You can look for another job but that'll be a lot of work. ,Stay Put ,Look for work. ,-10.00,-10.00,0.00,0.00,-10.00,-10.00,0.00,0.00
Work ,You’re offered a promotion at work. You’ll earn a higher salary but your work responsibilities will increase. Accept or Not?,Decline,Accept,0.00,10.00,0.00,0.00,0.00,-10.00,10.00,10.00
Work ,You get asked to work a few weekends at your job. You'll make a little extra money but will be a little sad. What do you want to do? ,Extra Happy ,Extra Cash,10.00,0.00,-10.00,0.00,-10.00,0.00,10.00,0.00
Work ,You are offered to work from home! You'll spend less money commuting but won't get much social interaction. ,Stay in Office,WFH,10.00,0.00,-10.00,0.00,-10.00,0.00,10.00,0.00
Work ,You get offered a position at another company making [_] than you do now. The job is in another city with the same cost of living but you'll have to move.,Stay Put ,Move ,0.00,0.00,10.00,10.00,0.00,0.00,-10.00,10.00
Work ,Your company downsizes and you get laid off work. While you're looking for a new job you'll need some cash to stay afloat for [_] turns. Where are you getting the money? ,Cash,Savings,-10.00,0.00,-10.00,0.00,-10.00,0.00,0.00,-10.00
Work ,Your company gives you a career recognition reward for your years of dedicated service! Where do you put the money? ,Cash,Savings,10.00,0.00,10.00,0.00,10.00,0.00,0.00,10.00
Health,Hunger Hits! You can grab something fast that is cheap or something healthy that is a bit more expensive. ,Fast & Cheap,Healthy & Expensive,0.00,-10.00,-10.00,0.00,0.00,10.00,-10.00,0.00
Health,It's allergy season! A-10choo!! Do you pick up some allergy medicine or suffer the sniffles? ,Medicine,Sniffles ,0.00,10.00,-10.00,0.00,0.00,-10.00,10.00,0.00
Health,You've been working really hard and deserve some rest. How do you want to use your wellness bonus?,Happiness,Health,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00
Health,You've been getting straining headaches at work and suspect you might need glasses. Do you go get your eyes checked and pay the fee or let your health drop for [_] rounds?,Doctor,Health Drop,0.00,10.00,-10.00,0.00,0.00,-10.00,10.00,0.00
Health,You haven't been feeling very well lately do you want to take some time off work to rest and restore health or keep working? ,Work ,Rest,-10.00,-10.00,10.00,0.00,10.00,10.00,-10.00,0.00
Health,Seems like you've been feeling a bit low lately. Do you want to invest in therapy to support your happiness and health?,No,Yes,-10.00,-10.00,10.00,0.00,10.00,10.00,-10.00,0.00
Health,You've been doing really good in therapy lately! Stay in it for a happiness boost choose to stop sessions for more cash. ,Cash,Therapy,-10.00,-10.00,10.00,0.00,10.00,10.00,-10.00,0.00
Health,Your appendix burst and you were taken to the hospital. You're okay! But you need to pay some extra medical bills now. Can you pay them all off now or set up a payment plan?,Payment Plan,Pay Off Now,-10.00,-10.00,0.00,-10.00,-10.00,-10.00,-10.00,0.00
Health,Health retreat!! You could pay to go a wellness retreat to rest and pamper yourself. ,Stay Home,Wellness Trip,-10.00,-10.00,10.00,0.00,10.00,10.00,-10.00,0.00
Health,You broke your foot trying out the latest dance trend. Surgery is expensive! Where are you getting the money? ,Cash,Savings,-10.00,-10.00,-10.00,0.00,-10.00,-10.00,0.00,-10.00
Social ,Your friends are going out somewhere fun tonight but you have to pay to get in. Do you go? ,Stay In,Go,-10.00,0.00,10.00,0.00,10.00,0.00,-10.00,0.00
Social ,You got invited to your friend's birthday party! When your friend is happy you're happy! ,Just go to the party! ,Get them a gift!,10.00,0.00,10.00,0.00,10.00,0.00,-10.00,0.00
Social ,Your friends are in town and asked you to host them! Seeing them will make you feel better but you'll have to pay a little extra to entertain them. ,Decline. ,Invite them!,-10.00,0.00,10.00,0.00,10.00,0.00,-10.00,0.00
Social ,You really want to take up a new club hobby in your neighborhood to meet new people but there is a fee to join. ,Don't Join. ,Join,-10.00,-10.00,10.00,0.00,10.00,10.00,-10.00,0.00
Social ,You're hosting a dinner party for friends and need to pick up a few things to prepare. Where are you getting the money? ,Cash,Savings,10.00,0.00,-10.00,0.00,10.00,0.00,0.00,-10.00
Social ,Your favorite artist is performing in your city! But tickets are [_]. Do you go? ,No ,Go,-10.00,0.00,10.00,0.00,10.00,0.00,-10.00,0.00
Social ,It's a special occasion and you want to celebrate.  ,Give yourself a gift ,Go for a nice dinner!,10.00,0.00,-10.00,0.00,10.00,0.00,-10.00,0.00
Social ,Someone close to you is getting married! They asked you to be in the wedding party (that can be really fun but comes with a lot of expenses). ,Decline,Accept,-10.00,0.00,10.00,0.00,10.00,0.00,-10.00,0.00
Social ,Your friends are planning a weekend trip. You'll need to plan for travel lodging and food expenses but it's only for a couple of days. Do you want to go?  ,No ,Yes,-10,0,10,0,10,0,-10,0
Social ,Spending more time with loved ones in community would be a huge boost to your happiness and wellness but social activity and travel costs money.  ,More Solo Time,More Quality Time,-10,-10,10,10,10,10,-10,-10
Housing,You're looking for housing. What's more important to you? ,Being happy even if I'm paying more ,Saving money and not having as much access to things I enjoy,10,0,-10,0,-10,0,10,0
Housing,You're moving out! Do you want to find a roommate? You'll give up some personal freedom but save money! ,Roommate,Live Alone. ,-10,0,10,0,10,0,-10,0
Housing,You found a place with cheaper rent! You'll have to leave your neighborhood but you'll be paying less money. ,Stay ,Move,10,0,0,0,-10,0,10,0
Housing,Moving out day! You get your full security deposit back. Where do you put the money? ,Cash,Savings ,0,0,10,0,0,0,0,10
Housing,You had some bad weather at your house and now your roof is leaking. Do you have the money to fix it now or do you have to wait and hope it doesn't get worse? ,Wait ,Fix Now,-10,0,0,0,-10,0,-10,0
Housing,Rent Spike! Your landlord raised the rent. Where are you going to get the money? ,Cash,Savings ,-10,0,-10,0,-10,0,0,-10
Housing,You've been renting apartments for years now. Do you want to try and buy a home? [Mini Lesson],Rent,Buy Home ,0,0,0,-10,0,0,0,-10
Housing,You received a tax refund and want to make your house a home. Do you want to decorate/renovate to boost your happiness or put extra cash in your savings? ,Renovate,Invest ,10,0,0,-10,-10,0,0,10
Housing,The leak in your roof caused some damage and now you have to have big repairs done. Where do you get the money? ,Cash,Savings ,-10,0,-10,0,-10,0,0,-10
Housing,Congratulations after consistently making biweekly payments to reduce the interest costs You pay off your mortgage! Where do you want to keep a new increase in income? ,Cash,Invest ,10,0,10,0,10,0,0,10
Relationship,Are you interested in pursuing romantic partners?,No,Yes,0,0,0,0,0,0,0,0
Relationship,You've met someone you like and you would like to get to know them better. Do you go out on a date? ,No,Yes,-10,0,10,0,10,0,-10,0
Relationship,Things are going well with the person you've been seeing. Do you want to continue going out on dates?,No,Yes,-10,0,10,0,10,0,-10,0
Relationship,It is a gift giving holiday/special occasion. Do you and your partner agree to exhange gifts?,No,Yes ,-10,0,10,0,10,0,-10,0
Relationship,Are you interested in cohabitation with romantic partner(s)?,No,Yes,0,0,0,0,0,0,0,0
Relationship,You have been seeing someone for a while now and they ask you to move in with them. This could be a happiness boost and let you split living expenses. Do you move in together? ,No,Yes,0,0,-10,0,10,0,10,0
Relationship,Are you interested in marriage?,No,Yes,0,0,10,0,0,0,10,0
Relationship,Are you interested in raising children?,No,Yes,0,0,-10,-10,0,0,-10,-10
Relationship,You are interested in getting married. Would you prefer to host a ceremony and reception or elope? ,Elope,Ceremony,0,0,0,10,0,0,0,-10
Relationship,You've gotten married and it is time to file your taxes. Do you file together or separately? ,Separate ,Together,0,0,0,0,0,0,10,0
Unexpected,You get a flat tire. Do you pay to have your tire changed or do you try and fix it yourself? ,Pay ,Change it Self ,10,0,-10,0,0,-10,10,0
Unexpected,"Someone you went to high school with reaches out to you with a ""great financial opportunity."" Do you invest?",No,Yes,0,0,-10,10,0,0,-10,-10
Unexpected,You recently inherited a sum of money. Where do you want to put the money?,Cash,Savings ,-10,0,-10,0,-10,0,-10,0
Unexpected,Your refridgerator broke and all your food went bad. Stinky! Where are you getting the money to replace it?,Cash,Savings,-10,-10,-10,0,-10,-10,0,-10
Unexpected,Your pet gets pretty sick and needs to see a Vet immediately. Vet bills typically cost [_]. Do you take your pet for help? ,No,Yes,-10,0,0,0,10,0,-10,0
Unexpected,Your car completely breaks down and you don't know how to fix it. It is going to cost [_] to fix. Where are you taking the money from? ,Cash,Savings,-10,0,-10,0,-10,0,0,-10
Unexpected,You did your taxes and just got a refund! Where do you put the money?,Cash,Savings,10,0,10,0,10,0,0,10
Unexpected,You won a small lottery prize from a scratch off lottery ticket.  Where do you want to put the money?,Cash,Savings,10,0,10,0,10,0,0,10
Unexpected,Pest problem! Your home has some unwanted guests and you need to pay for a removal service. Where are you getting the money?,Cash,Savings,-10,-10,-10,0,-10,-10,0,-10
Unexpected,You found some cash on the street. Feel free to treat yourself! ,Happiness,Health ,10,-10,0,0,-10,10,0,0
Travel,Do you enjoy traveling?,No,Yes,0,0,0,0,0,0,0,0
Travel,Your loved ones live far away and you haven't visited in a while. Do you take a trip to see them?,No,Yes,-10,0,10,0,10,0,-10,0
Travel,Your best friend is doing a destination wedding and you are invited. It's a little expensive but you want to be there for your best friend's special day. Do you go?,No ,Yes,-10,0,10,0,10,0,-10,0
Travel,Your job offers you extra money to go on a business trip! Where do you put the bonus money?,Cash,Savings,0,0,10,0,0,0,0,10
Travel,Your friends are planning a big getaway trip. You're always wanted to go to this place! You'll need to plan for travel lodging and food expenses for at least a week. Do you want to go?  ,No ,Yes,-10,0,10,0,10,0,-10,0
Travel,There is a big life event and you need to travel home to be with family. Where do you want get the money?,Cash,Savings,0,0,-10,0,0,0,0,-10
Travel,You've been working hard and saved up vacation time. Do you want to go on a trip or do a staycation? The first will give you extra happiness but take money. The second will give you extra health.  ,Trip,Staycation,10,0,-10,0,0,10,10,0
Travel,You entered into a raffle and won a free getaway! Do you want this bonus in your happiness or health?,Happiness,Health,10,-10,0,0,-10,10,0,0
Travel,You got married! Do you want to go on a honeymoon?,No,Yes,-10,0,10,10,10,0,-10,-10
Travel,Your health or happiness are running a bit low. Would you like to spend some money to take a personal trip?,No,Yes,-10,-10,10,0,10,10,-10,0
Education ,Are you interested in attending a four year college?,No ,Yes,0,0,0,0,0,0,0,0
Education ,Are you interested in taking career courses or apprenticeships to find a speciality?,No,Yes,0,0,0,0,0,0,0,0
Education ,You've just graduated and you are ready for your next step. Do you take a gap year to restore your energy before moving forward?,No,Yes,-10,-10,10,10,10,10,-10,-10
Education ,You are working towards a big promotion at work but your boss says that you need take a class to earn a credential in order to qualify. You'll have to pay out of pocket. Do you enroll in the course? ,No,Yes,0,0,10,-10,0,0,-10,10
